"Country Name",2019
"Afghanistan",586.204
"Albania",5305.074
"Algeria",3939.536
"Andorra",40688.491
"Angola",2805.261
"Antigua and Barbuda",17451.554
"Argentina",10054.023
"Armenia",4596.861
"Aruba",29505.344
"Australia",54476.913
"Austria",50246.607
"Azerbaijan",4826.352
"Bahamas, The",34575.624
"Bahrain",25925.275
"Bangladesh",1854.668
"Barbados",18448.826
"Belarus",6831.516
"Belgium",46555.088
"Belize",4853.321
"Benin",1218.278
"Bhutan",3371.018
"Bolivia",3591.403
"Bosnia and Herzegovina",6120.156
"Botswana",7219.46
"Brazil",8935.756
"Brunei Darussalam",29314.112
"Bulgaria",9863.018
"Burkina Faso",786.929
"Burundi",261.294
"Cabo Verde",3601.725
"Cambodia",1736.422
"Cameroon",1507.514
"Canada",46399.714
"Central African Republic",479.846
"Chad",685.677
"Chile",14619.502
"China, People's Republic of",10170.061
"Colombia",6546.626
"Comoros",1359.75
"Congo, Dem. Rep. of the",580.695
"Congo, Republic of ",2800.291
"Costa Rica",12623.193
"Croatia",14945.184
"Cyprus",28487.981
"Czech Republic",23709.181
"Côte d'Ivoire",2227.982
"Denmark",59861.612
"Djibouti",3437.155
"Dominica",8524.696
"Dominican Republic",8595.611
"Ecuador",6260.603
"Egypt",3056.975
"El Salvador",4167.44
"Equatorial Guinea",8394.415
"Eritrea",566.731
"Estonia",23400.469
"Eswatini",4009.994
"Ethiopia",968.253
"Fiji",6142.933
"Finland",48716.216
"France",41989.673
"Gabon",8111.34
"Gambia, The",768.921
"Georgia",4693.66
"Germany",46800.183
"Ghana",2265.713
"Greece",19147.461
"Grenada",10608.38
"Guatemala",4371.265
"Guinea",991.735
"Guinea-Bissau",810.558
"Guyana",6594.375
"Haiti",1277.213
"Honduras",2567.967
"Hong Kong SAR",48268.216
"Hungary",16729.132
"Iceland",69631.272
"India",2098.933
"Indonesia",4196.297
"Iran",6980.744
"Iraq",5981.102
"Ireland",80632.329
"Israel",43965.661
"Italy",33521.343
"Jamaica",5781.785
"Japan",40689.791
"Jordan",4425.687
"Kazakhstan",9750.431
"Kenya",2110.46
"Kiribati",1695.298
"Korea, Republic of",31936.795
"Kosovo",4462.718
"Kuwait",28513.431
"Kyrgyz Republic",1388.647
"Lao P.D.R.",2618.182
"Latvia",17739.474
"Lebanon",7639.101
"Lesotho",1087.591
"Liberia",672.882
"Libya",6004.471
"Lithuania",19557.385
"Luxembourg",115838.953
"Macao SAR",81156.614
"Madagascar",512.176
"Malawi",543.685
"Malaysia",11231.411
"Maldives",15148.804
"Mali",905.821
"Malta",31865.843
"Marshall Islands",4292.884
"Mauritania",1943.797
"Mauritius",11088.782
"Mexico",10028.874
"Micronesia, Fed. States of",3952.282
"Moldova",4464.117
"Mongolia",4245.462
"Montenegro",8911.273
"Morocco",3368.386
"Mozambique",506.817
"Myanmar",1302.277
"Namibia",5109.122
"Nauru",9365.095
"Nepal",1200.965
"Netherlands",52672.504
"New Zealand",42210.227
"Nicaragua",1934.143
"Niger",553.905
"Nigeria",2229.854
"North Macedonia ",6044.439
"Norway",75700.221
"Oman",16529.391
"Pakistan",1352.723
"Palau",15725.084
"Panama",15830.98
"Papua New Guinea",2886.589
"Paraguay",5299.667
"Peru",6961.696
"Philippines",3511.868
"Poland",15726.878
"Portugal",23333.317
"Puerto Rico",32785.938
"Qatar",62817.059
"Romania",12861.283
"Russian Federation",11516.604
"Rwanda",835.187
"Saint Kitts and Nevis",20602.48
"Saint Lucia",11782.752
"Saint Vincent and the Grenadines",7470.714
"Samoa",4291.25
"San Marino",48367.995
"Saudi Arabia",23173.841
"Senegal",1430.209
"Serbia",7391.841
"Seychelles",16389.253
"Sierra Leone",527.171
"Singapore",65641.309
"Slovak Republic",19288.568
"Slovenia",26039.096
"Solomon Islands",2356.619
"Somalia",346.156
"South Africa",6598.879
"South Sudan, Republic of",343.006
"Spain",29576.25
"Sri Lanka",3851.666
"Sudan",776.549
"Suriname",6662.874
"Sweden",51694.498
"Switzerland",85721.728
"Syria",
"São Tomé and Príncipe",2021.926
"Taiwan Province of China",25935.899
"Tajikistan",873.499
"Tanzania",1079.684
"Thailand",7816.23
"Timor-Leste",1560.509
"Togo",893.161
"Tonga",5150.551
"Trinidad and Tobago",16637.108
"Tunisia",3324.127
"Turkey",9145.769
"Turkmenistan",7899.961
"Tuvalu",5052.111
"Uganda",954.253
"Ukraine",3690.071
"United Arab Emirates",43900.15
"United Kingdom",42416.5979999999
"United States",65051.88
"Uruguay",17601.265
"Uzbekistan",1801.428
"Vanuatu",3147.047
"Venezuela",2299.308
"Vietnam",3398.214
"West Bank and Gaza",3442.754
"Yemen",691.587
"Zambia",1272.238
"Zimbabwe",1314.09
"Africa (Region)",1956.983
"Asia and Pacific",7359.226
"Australia and New Zealand",52474.643
"Caribbean",4988.766
"Central America",6023.044
"Central Asia and the Caucasus",5663.21
"East Asia",13632.077
"Eastern Europe ",11594.55
"Europe",29249.5
"Middle East (Region)",12319.879
"North Africa",3423.521
"North America",49386.072
"Pacific Islands ",3162.5
"South America",8199.298
"South Asia",2001.464
"Southeast Asia",4937.879
"Sub-Saharan Africa (Region) ",1687.346
"Western Europe",42545.487
"Western Hemisphere (Region)",28455.895
"ASEAN-5",4773.07
"Advanced economies",48470.657
"Emerging and Developing Asia",5620.853
"Emerging and Developing Europe",10363.983
"Emerging market and developing economies",5447.83
"Euro area",39262.728
"European Union",35273.696
"Latin America and the Caribbean",8263.267
"Major advanced economies (G7)",51768.286
"Middle East and Central Asia",4868.694
"Other advanced economies",43099.806
"Sub-Saharan Africa",1723.276
"World",11534.665
